Name;Price;Mark;Model;prod_type;Size;Processor;Frequency;Volume;Main_camera;Front_camera;RAM
Планшет Prestigio Smartkids PMT3197 W D, WiFi, 7'', Blue;27 590;Prestigio;Prestigio Smartkids PMT3197;планшет;"7""";Rockchip RK3126C;1,2;16 Гб;2;0,3;1 Гб
Планшет Prestigio Smartkids PMT3197 W D, WiFi, 7'', Pink;27 690;Prestigio;Smartkids PMT3197;планшет;"7""";Rockchip RK3126C;1,2;16 Гб;2;0,3;1 Гб
"Планшет Samsung Galaxy Tab A 10.4"", SM-T505NZDASKZ, Gold";109 890;Samsung;Galaxy Tab A SM-T505NZDASKZ;планшет;"10.4""";SM6115 Snapdragon 662 (11 nm);1,8;32 Гб;8;5;3 Гб
"Планшет Samsung Galaxy Tab A 10.4"", SM-T505NZAASKZ, Gray";109 890;Samsung;Galaxy Tab A SM-T505NZAASKZ;планшет;"10.4""";SM6115 Snapdragon 662 (11 nm);1,8;32 Гб;8;5;3 Гб
Планшет Lenovo Tab M7 TB-7305F Wifi 16Gb, Black;45 990;Lenovo;Tab M7 TB-7305F;планшет;"7""";MT8321;1,3;16 Гб;2;2;1 Гб
"Планшет Samsung Galaxy Tab S7 plus 12.4"", SM-T975NZKASKZ, Gray";429 890;Samsung;Galaxy Tab S7+ (SM-T975NZKASKZ);планшет;"12.4""";Snapdragon 865 Plus;3,09;128 Гб;13+5;8;6 Гб
"Планшет Samsung Galaxy Tab S7 11"", SM-T875NZNASKZ, Bronze";329 890;Samsung;Galaxy Tab S7 (SM-T875NZNASKZ);планшет;"11""";Snapdragon 865 Plus;3,09;128 Гб;13+5;8;6 Гб
"Планшет Samsung Galaxy Tab S7 11"", SM-T875NZKASKZ, Mystic Black";329 890;Samsung;Galaxy Tab S7 (SM-T875NZKASKZ);планшет;"11""";Snapdragon 865 Plus;3,09;128 Гб;13+5;8;6 Гб
Планшет Lenovo TB-7305X TAB Platinum Grey;50 490;Lenovo;TB-7305X;планшет;"7""";Mediatek;1,3;16 Гб;2;2;1 Гб
"Планшет Prestigio Wize 4111 10.1"" 3G, 16GB, Black (PMT4111_3G_D)";38 990;Prestigio;Wize 4111;планшет;"10.1""";Spreadtrum;1,3;16 Гб;2;0.3;1 Гб
Планшет Prestigio Grace PMT4117 3G, Black (147409);24 190;Prestigio;PMT4117 3G;планшет;"7""";Spreadtrum;1.4 ГГц;8 Гб;2;0.3;1 Гб
Планшет Samsung Tab S6 Lite 10.4'',  Blue (SM-P615NZBASKZ);179 890;Samsung;SM-P615NZBASKZ;планшет;"10.4""";;2,3 ГГц, 1,7 ГГц;64 Гб;8 Мп;5 Мп;4 Гб
Планшет Samsung Tab S6 Lite 10.4'', Gray (SM-P615NZAASKZ);179 890;Samsung;SM-P615NZAASKZ;планшет;"10.4""";;2,3 ГГц, 1,7 ГГц;64 Гб;8 Мп;5 Мп;4 Гб
Планшет Lenovo YT-X705X TAB 3G32GBL-RU, Iron Grey;139 990;Lenovo;YT-X705X;планшет;"10.1""";Snapdragon 439;;32 Гб;8;5;3 Гб
"Планшет Samsung Galaxy Tab A 8.0"" WiFi, SM-T290NZKASKZ, Black";59 890;Samsung;Galaxy Tab A 8.0 WiFi;планшет;"8""";;;32 Гб;8 Мп;2 Мп;2 Гб
Планшет Lenovo TB-8505X 32GB, Gray;65 080;Lenovo;Lenovo TB-8505X;планшет;"8""";Mediatek;2 ГГц;32 Гб;5 Мп;2 Мп;2 Гб
Планшет Lenovo TB-X505X TAB 2G32GBL-RU;78 690;Lenovo;TB-X505X;планшет;"10.1""";Snapdragon 429;;32 Гб;2 МП;;2 Гб
Планшет Lenovo TB-7305X, Black;56 990;Lenovo;TB-7305X;планшет;"7""";Mediatek;1.3 ГГц;16 Гб;2Мп;2Мп;1 Гб
"Планшет Samsung Galaxy Tab A 8"", Silver (SM-T295NZSASKZ)";69 890;Samsung;Galaxy Tab A;планшет;"8""";;1,4;32 Гб;8;5;2 Гб
"Планшет Samsung Galaxy Tab A 8"", Black (SM-T295NZKASKZ)";69 890;Samsung;Tab A;планшет;"8""";;1,4;32 Гб;8;5;2 Гб
Планшет Samsung Galaxy Tab A 10.1'', SM-T515NZKDSKZ, Black;99 890;Samsung;Tab A;планшет;"10.1""";;1,8;32 Гб;8;5;2 Гб
Планшет Samsung Galaxy Tab A 10.1'', SM-T515NZDDSKZ, Gold;99 890;Samsung;Tab A;планшет;"10.1""";;1,8;32 Гб;8;5;2 Гб
